id,date,lat,lon,category,subcategory,title,description,country_affected,source_name,source_url,severity,vessels_involved,notes
ARG-2025-001,2025-12-04,-44.0,-59.5,eez_violation,illegal_fishing,Argentine Navy detects vessel fishing inside EEZ,"During Operation Mare Nostrum VI, ARA Almirante Storni with P-3 Orion support detected a foreign vessel fishing inside Argentina's EEZ.",Argentina,Newsweek,https://www.newsweek.com/argentina-deploys-military-atlantic-fishing-swarm-china-spain-korea-taiwan-2035671,3,1,Part of Dec 2-7 2025 operation; ~360 Chinese vessels at EEZ edge
ARG-2025-002,2025-12-02,-45.0,-60.0,ocean_mapping,survey_behavior,Lu Qing Yuan Yu 205 displays grid-pattern maneuvering,"Vessel Lu Qing Yuan Yu 205 observed conducting slow grid-pattern maneuvers suggestive of ocean floor mapping rather than fishing, near Argentine EEZ boundary.",Argentina,CNN,https://www.cnn.com/2025/03/10/americas/argentine-military-hunts-chinese-fishing-vessels,2,1,Mapping behavior documented during Mare Nostrum VI
ARG-2025-003,2025-02-23,-43.0,-59.0,us_interest,eez_edge_massing,"380 DWF vessels massed at Argentine EEZ boundary","During Operation Mare Nostrum I, 380 fishing vessels identified along ~100-mile stretch just outside EEZ. Argentine Navy intercepted Chinese vessels attempting entry.",Argentina,TSI Magazine,https://tsi-mag.com/argentine-navy-blocks-chinese-fishing-vessels/,2,380,Western Hemisphere DWF presence; Monroe Doctrine relevance
ARG-2025-004,2025-06-15,-44.5,-59.5,coast_guard_clash,interception,Argentine Navy blocks ~300 Chinese squid jiggers,"Approximately 300 Chinese squid jiggers intercepted and blocked from entering Argentine EEZ.",Argentina,InSight Crime,https://insightcrime.org/news/chinese-fishing-fleet-still-baits-argentina/,2,300,Recurring annual pattern during squid season
ARG-2025-005,2025-03-01,-42.0,-58.0,ais_disable,systematic_shutoff,92% of AIS shutoffs in Argentine EEZ area attributed to Chinese vessels,"CNN analysis of AIS data found Chinese-flagged vessels account for 92% of all AIS disabling events in waters adjacent to Argentina's EEZ.",Argentina,CNN,https://www.cnn.com/2025/03/10/americas/argentine-military-hunts-chinese-fishing-vessels,3,13,13 vessels documented using flags of convenience (Cameroon; Vanuatu)
GAL-2023-001,2023-08-31,-1.5,-91.0,ais_disable,going_dark,53 AIS shutoff events near Galapagos EEZ,"Oceana analysis found 53 instances of Chinese vessels disabling AIS for nearly 27000 cumulative hours near Galapagos EEZ boundary (Jan 2021 - Aug 2023).",Ecuador,Oceana,https://usa.oceana.org/press-releases/oceana-analysis-shows-chinas-fishing-fleet-swarms-galapagos-then-disappears-from-sight/,3,510,"510 Chinese vessels total in study period; 479 were squid jiggers"
GAL-2023-002,2022-06-15,-1.0,-92.0,us_interest,eez_edge_massing,Chinese DWF fleet masses at Galapagos EEZ boundary,"Up to 510 Chinese-flagged fishing vessels documented operating within 200nm of Galapagos EEZ border. 69% of China's worldwide squid jigging fleet deployed here.",Ecuador,Oceana,https://usa.oceana.org/press-releases/oceana-analysis-shows-chinas-fishing-fleet-swarms-galapagos-then-disappears-from-sight/,2,510,Recurring annual pattern; Western Hemisphere presence
GAL-2017-001,2017-08-13,-1.4,-89.5,eez_violation,illegal_fishing,Fu Yuan Yu Leng 999 captured inside Galapagos marine reserve,"Chinese vessel Fu Yuan Yu Leng 999 intercepted inside Galapagos marine reserve carrying 300 tons of marine wildlife including endangered sharks. 20 crew jailed; $5.9M fine.",Ecuador,CIMSEC,https://cimsec.org/evolution-of-the-fleet-a-closer-look-at-the-chinese-fishing-vessels-off-the-galapagos/,3,1,Landmark prosecution; catalyzed international attention
KOR-2025-001,2025-12-07,35.0,124.5,eez_violation,illegal_fishing,6 Chinese fishing boats seized in South Korean EEZ,"South Korea's Ministry of Oceans and Coast Guard seized 6 Chinese fishing boats for illegal fishing in Yellow Sea EEZ. Fines totaling 240 million won (~$163K).",South Korea,Korea Herald,https://www.koreaherald.com/article/10632568,3,6,Part of joint crackdown; 241 Chinese boats inspected
KOR-2025-002,2025-12-15,33.5,126.5,eez_violation,illegal_gear,15 illegal gill nets found near Jeju Island,"Inspection of Chinese fishing vessels found 15 illegal gill nets deployed near Jeju Island within South Korean EEZ.",South Korea,Korea Times,https://www.koreatimes.co.kr/southkorea/law-crime/20251209/6-chinese-boats-seized-for-alleged-illegal-fishing-in-korean-waters,2,15,Gill nets being removed by Korean authorities
KOR-2025-003,2025-12-20,34.0,125.0,coast_guard_clash,violent_resistance,Chinese crew resists boarding with iron bars and steel barriers,"Two 300-ton Chinese fishing boats found inside EEZ. Crew armed with iron bars ignored stop orders and erected steel barriers to prevent boarding. Special forces boarded; found 2 tons of illegal sardines and 1-inch mesh nets (vs 21-inch legal minimum).",South Korea,Newsweek,https://www.newsweek.com/chinese-fishing-boats-seized-coast-guard-video-11266519,3,2,President Lee called it 'utterly unacceptable'
SAM-2022-001,2022-01-01,-14.3,-170.7,us_interest,chronic_presence,Chinese DWF longliners active near American Samoa,"Half of South Pacific albacore catch taken by Chinese longliners. Tuna cannery on American Samoa temporarily suspended operations due to fish stock depletion. USCG evaluating Fast Response Cutter basing.",American Samoa,Civil Beat,https://www.civilbeat.org/2021/05/hawaiis-fisherman-are-worried-about-chinas-fleet-so-is-the-military/,2,,Chronic presence zone; direct US economic impact
SAM-2022-002,2022-08-15,0.0,-165.0,coast_guard_clash,ramming_attempt,Chinese DWF vessel attempts to ram USCGC James,"USCGC James took evasive action to avoid a Chinese-flagged DWF vessel that attempted to ram the cutter in the Pacific during fisheries enforcement patrol.",United States,Civil Beat,https://www.civilbeat.org/2021/05/hawaiis-fisherman-are-worried-about-chinas-fleet-so-is-the-military/,3,1,Direct confrontation with US enforcement
